Datetime,DAYTON_MW
12/31/04 1:00,1596
12/31/04 2:00,1517
12/31/04 3:00,1486
12/31/04 4:00,1469
12/31/04 5:00,1472
12/31/04 6:00,1518
12/31/04 7:00,1598
12/31/04 8:00,1691
12/31/04 9:00,1748
12/31/04 10:00,1825
12/31/04 11:00,1880
12/31/04 12:00,1891
12/31/04 13:00,1874
12/31/04 14:00,1859
12/31/04 15:00,1829
12/31/04 16:00,1807
12/31/04 17:00,1838
12/31/04 18:00,1945
12/31/04 19:00,1968
12/31/04 20:00,1867
12/31/04 21:00,1785
12/31/04 22:00,1711
12/31/04 23:00,1639
1/1/05 0:00,1560
1/1/05 1:00,1713
1/1/05 2:00,1647
1/1/05 3:00,1611
1/1/05 4:00,1608
1/1/05 5:00,1630
1/1/05 6:00,1704
1/1/05 7:00,1839
1/1/05 8:00,1986
1/1/05 9:00,2039
1/1/05 10:00,2079
1/1/05 11:00,2113
1/1/05 12:00,2095
1/1/05 13:00,2052
1/1/05 14:00,2014
1/1/05 15:00,1970
1/1/05 16:00,1934
1/1/05 17:00,1947
1/1/05 18:00,2095
1/1/05 19:00,2167
1/1/05 20:00,2110
1/1/05 21:00,2062
1/1/05 22:00,1980
1/1/05 23:00,1861
1/2/05 0:00,1722
1/2/05 1:00,1803
1/2/05 2:00,1731
1/2/05 3:00,1697
1/2/05 4:00,1682
1/2/05 5:00,1707
1/2/05 6:00,1785
1/2/05 7:00,1934
1/2/05 8:00,2067
1/2/05 9:00,2101
1/2/05 10:00,2135
1/2/05 11:00,2135
1/2/05 12:00,2148
1/2/05 13:00,2107
1/2/05 14:00,2063
1/2/05 15:00,2015
1/2/05 16:00,1988
1/2/05 17:00,2035
1/2/05 18:00,2191
1/2/05 19:00,2260
1/2/05 20:00,2223
1/2/05 21:00,2169
1/2/05 22:00,2087
1/2/05 23:00,1975
1/3/05 0:00,1836
1/3/05 1:00,2015
1/3/05 2:00,1974
1/3/05 3:00,1955
1/3/05 4:00,1944
1/3/05 5:00,1978
1/3/05 6:00,2064
1/3/05 7:00,2203
1/3/05 8:00,2357
1/3/05 9:00,2373
1/3/05 10:00,2388
1/3/05 11:00,2390
1/3/05 12:00,2377
1/3/05 13:00,2313
1/3/05 14:00,2276
1/3/05 15:00,2234
1/3/05 16:00,2217
1/3/05 17:00,2228
1/3/05 18:00,2369
1/3/05 19:00,2429
1/3/05 20:00,2382
1/3/05 21:00,2326
1/3/05 22:00,2238
1/3/05 23:00,2089
1/4/05 0:00,1929
1/4/05 1:00,1972
